gameid;tournament;gametype;teamA;teamidA;teamB;teamidB;resultA;resultB;addinfo;date;teamA_age;teamB_age;teamA_def_val;teamB_def_val;teamA_off_val;teamB_off_val;teamA_frag;teamB_frag;past_resultA;past_resultB
1074995;AM11;Finale;Australien;3433;Japan;3435;0;1;n.V.;29.01.11;27.608695652173914;25.238095238095237;22350000.0;25000000.0;37050000.0;23200000.0;22;15;1.9098562522636717;0.9620119040546875
1074994;AM11;Spiel um Platz Drei;Usbekistan;3563;Südkorea;3589;2;3;;28.01.11;26.0;24.772727272727273;2850000.0;13900000.0;6275000.0;15050000.0;14;16;0.9974999999999999;1.045
1074870;AM11;Halbfinale;Japan;3435;Südkorea;3589;5;3;n.E.;25.01.11;25.142857142857142;24.956521739130434;22250000.0;15150000.0;32700000.0;25800000.0;15;17;0.0025237344139648443;0.10227937574413573
1074871;AM11;Halbfinale;Usbekistan;3563;Australien;3433;0;6;;25.01.11;26.043478260869566;28.857142857142858;2975000.0;16250000.0;7400000.0;32750000.0;16;13;0.0;1.9475
1074103;AM11;Viertelfinale;Australien;3433;Irak;3560;1;0;n.V.;22.01.11;27.5;24.391304347826086;19950000.0;1800000.0;37950000.0;5000000.0;21;16;0.049875;0.957125
1074105;AM11;Viertelfinale;Iran;3582;Südkorea;3589;0;1;n.V.;22.01.11;27.304347826086957;24.91304347826087;14900000.0;15150000.0;9900000.0;25800000.0;11;17;1.00013625;0.0503678125
1074104;AM11;Viertelfinale;Japan;3435;Katar;14162;3;2;;21.01.11;25.095238095238095;23.869565217391305;20500000.0;2700000.0;31200000.0;3000000.0;15;6;1.094875;0.952375
1074102;AM11;Viertelfinale;Usbekistan;3563;Jordanien;15737;2;1;;21.01.11;26.043478260869566;25.91304347826087;2500000.0;1700000.0;7875000.0;1550000.0;16;10;1.045;1.045
1023757;AM11;Gruppe A;China;5598;Usbekistan;3563;2;2;;16.01.11;24.73913043478261;25.956521739130434;4350000.0;2475000.0;1975000.0;7900000.0;12;16;0.0;2.8499999999999996
1023756;AM11;Gruppe A;Katar;14162;Kuwait;3432;3;0;;16.01.11;24.26086956521739;25.043478260869566;2950000.0;4500000.0;3300000.0;2500000.0;7;5;0.0;0.95
1023748;AM11;Gruppe A;Usbekistan;3563;Kuwait;3432;2;1;;12.01.11;25.956521739130434;25.043478260869566;2475000.0;4500000.0;7900000.0;2500000.0;16;5;2.8974999999999995;1.9949999999999999
1023749;AM11;Gruppe A;China;5598;Katar;14162;0;2;;12.01.11;24.695652173913043;24.26086956521739;4350000.0;2950000.0;1975000.0;3300000.0;12;7;0.0023750000000000004;0.95
1023741;AM11;Gruppe A;Kuwait;3432;China;5598;0;2;;08.01.11;24.958333333333332;24.695652173913043;4000000.0;4350000.0;3500000.0;2475000.0;5;12;0.95;0.0475
1023740;AM11;Gruppe A;Katar;14162;Usbekistan;3563;0;2;;07.01.11;24.26086956521739;25.956521739130434;2900000.0;2900000.0;3200000.0;7400000.0;7;16;0.1425;3.8
1023758;AM11;Gruppe B;Saudi-Arabien;3807;Japan;3435;0;5;;17.01.11;26.130434782608695;24.80952380952381;6700000.0;23200000.0;13900000.0;31200000.0;6;15;2.8998749999999998;2.0425
1023759;AM11;Gruppe B;Jordanien;15737;Syrien;13674;2;1;;17.01.11;25.869565217391305;25.956521739130434;1700000.0;2550000.0;1550000.0;2000000.0;10;13;0.95;0.95
1023750;AM11;Gruppe B;Jordanien;15737;Saudi-Arabien;3807;1;0;;13.01.11;25.869565217391305;26.130434782608695;1700000.0;6700000.0;1550000.0;13900000.0;10;6;;
1023751;AM11;Gruppe B;Syrien;13674;Japan;3435;1;2;;13.01.11;25.956521739130434;25.08695652173913;2550000.0;23500000.0;2000000.0;34200000.0;13;17;0.95;2.9924999999999997
1023742;AM11;Gruppe B;Japan;3435;Jordanien;15737;1;1;;09.01.11;25.08695652173913;25.869565217391305;25000000.0;1700000.0;30500000.0;1550000.0;17;10;3.8;2.8499999999999996
1023743;AM11;Gruppe B;Saudi-Arabien;3807;Syrien;13674;1;2;;09.01.11;26.130434782608695;25.91304347826087;6700000.0;2600000.0;13900000.0;2000000.0;6;13;;
1023761;AM11;Gruppe C;Australien;3433;Bahrain;7214;1;0;;18.01.11;27.608695652173914;25.565217391304348;20750000.0;2825000.0;42200000.0;3850000.0;22;11;1.9475;0.0
1023760;AM11;Gruppe C;Südkorea;3589;Indien;13957;4;1;;18.01.11;24.91304347826087;26.26086956521739;15150000.0;775000.0;25800000.0;725000.0;17;12;;
1023752;AM11;Gruppe C;Australien;3433;Südkorea;3589;1;1;;14.01.11;27.59090909090909;24.91304347826087;20500000.0;11650000.0;42150000.0;29300000.0;21;17;0.95;2.8974999999999995
1023753;AM11;Gruppe C;Bahrain;7214;Indien;13957;5;2;;14.01.11;25.565217391304348;26.217391304347824;2825000.0;750000.0;4050000.0;750000.0;11;12;;
1023744;AM11;Gruppe C;Indien;13957;Australien;3433;0;4;;10.01.11;26.17391304347826;27.565217391304348;675000.0;21000000.0;825000.0;42150000.0;12;22;;
1023745;AM11;Gruppe C;Südkorea;3589;Bahrain;7214;2;1;;10.01.11;25.09090909090909;25.214285714285715;15150000.0;1975000.0;23850000.0;3000000.0;17;8;0.95;1.9
1023763;AM11;Gruppe D;Vereinigte-Arabische-Emirate;5147;Iran;3582;0;3;;19.01.11;24.181818181818183;27.26086956521739;1150000.0;15550000.0;1100000.0;9250000.0;4;11;0.0475;0.999875
1023762;AM11;Gruppe D;Irak;3560;Nordkorea;15457;1;0;;19.01.11;24.391304347826086;25.0;1900000.0;3450000.0;5000000.0;6550000.0;16;9;;
1023754;AM11;Gruppe D;Iran;3582;Nordkorea;15457;1;0;;15.01.11;27.26086956521739;25.0;13650000.0;3450000.0;11150000.0;6550000.0;11;9;0.9548806249999999;0.0023750000000000004
1023755;AM11;Gruppe D;Vereinigte-Arabische-Emirate;5147;Irak;3560;0;1;;15.01.11;23.565217391304348;24.347826086956523;2100000.0;1900000.0;1900000.0;5000000.0;5;16;;
1023746;AM11;Gruppe D;Nordkorea;15457;Vereinigte-Arabische-Emirate;5147;0;0;;11.01.11;25.0;23.565217391304348;3450000.0;2100000.0;6550000.0;1900000.0;9;5;1.9949999999999999;0.049875
1023747;AM11;Gruppe D;Irak;3560;Iran;3582;1;2;;11.01.11;25.076923076923077;27.217391304347824;875000.0;14900000.0;4500000.0;9900000.0;9;11;;
2289743;AC13;Finale;Nigeria;3444;Burkina Faso;5872;1;0;;10.02.13;23.954545454545453;26.454545454545453;37600000.0;6950000.0;37350000.0;16650000.0;19;19;0.95;0.95
2289742;AC13;Spiel um Platz Drei;Mali;3674;Ghana;3441;3;1;;09.02.13;25.38095238095238;24.142857142857142;16400000.0;14950000.0;16300000.0;40750000.0;20;19;0.0952375;0.954999375
2289691;AC13;Halbfinale;Mali;3674;Nigeria;3444;1;4;;06.02.13;25.571428571428573;24.0;11250000.0;37400000.0;22300000.0;49350000.0;20;20;0.0475;0.097375
2289692;AC13;Halbfinale;Burkina Faso;5872;Ghana;3441;4;3;n.E.;06.02.13;26.40909090909091;24.391304347826086;6950000.0;19700000.0;16650000.0;38250000.0;19;20;0.04999375;1.0452375
2289022;AC13;Viertelfinale;Elfenbeinküste;3591;Nigeria;3444;1;2;;03.02.13;27.82608695652174;23.954545454545453;41850000.0;36800000.0;97650000.0;49350000.0;19;19;0.9974999999999999;0.0
2289023;AC13;Viertelfinale;Burkina Faso;5872;Togo;3815;1;0;n.V.;03.02.13;26.40909090909091;25.17391304347826;11950000.0;7450000.0;11650000.0;17350000.0;19;18;0.95;0.95
2289020;AC13;Viertelfinale;Ghana;3441;Kap Verde;4311;2;0;;02.02.13;24.391304347826086;25.47826086956522;19700000.0;4675000.0;38250000.0;10200000.0;20;20;3.895;0.0
2289021;AC13;Viertelfinale;Südafrika;3806;Mali;3674;2;4;n.E.;02.02.13;26.272727272727273;25.318181818181817;4525000.0;13600000.0;8400000.0;20200000.0;12;21;0.0;1.9
2270413;AC13;Gruppe A;Kap Verde;4311;Angola;3585;2;1;;27.01.13;25.47826086956522;25.17391304347826;3975000.0;4200000.0;10900000.0;10400000.0;20;12;;
2270412;AC13;Gruppe A;Südafrika;3806;Marokko;3575;2;2;;27.01.13;26.217391304347824;25.80952380952381;7275000.0;21900000.0;8650000.0;36950000.0;13;17;1.0972499999999998;0.999875
2270404;AC13;Gruppe A;Südafrika;3806;Angola;3585;2;0;;23.01.13;26.217391304347824;25.17391304347826;8275000.0;4050000.0;7525000.0;10550000.0;13;12;0.95;0.95
2270405;AC13;Gruppe A;Marokko;3575;Kap Verde;4311;1;1;;23.01.13;25.608695652173914;25.434782608695652;25650000.0;4675000.0;49200000.0;10200000.0;18;20;;
2270396;AC13;Gruppe A;Südafrika;3806;Kap Verde;4311;0;0;;19.01.13;26.217391304347824;25.434782608695652;8375000.0;4675000.0;7425000.0;10200000.0;13;20;1.9949999999999999;0.9974999999999999
2270397;AC13;Gruppe A;Angola;3585;Marokko;3575;0;0;;19.01.13;25.17391304347826;25.608695652173914;4050000.0;25650000.0;10550000.0;49200000.0;12;18;;
2270414;AC13;Gruppe B;Niger;14163;Ghana;3441;0;3;;28.01.13;24.956521739130434;24.5;1250000.0;19700000.0;2575000.0;35750000.0;17;19;;
2270415;AC13;Gruppe B;Demokratische-Republik-Kongo;3854;Mali;3674;1;1;;28.01.13;25.347826086956523;25.272727272727273;13300000.0;14400000.0;16250000.0;19300000.0;16;21;0.95;2.8499999999999996
2270406;AC13;Gruppe B;Ghana;3441;Mali;3674;1;0;;24.01.13;24.347826086956523;25.17391304347826;19700000.0;15400000.0;38250000.0;22200000.0;20;22;0.0999875;1.90475
2270407;AC13;Gruppe B;Niger;14163;Demokratische-Republik-Kongo;3854;0;0;;24.01.13;24.956521739130434;25.304347826086957;1400000.0;10800000.0;2425000.0;16250000.0;17;16;;
2270398;AC13;Gruppe B;Ghana;3441;Demokratische-Republik-Kongo;3854;2;2;;20.01.13;24.347826086956523;25.304347826086957;36300000.0;10800000.0;21650000.0;16250000.0;20;16;0.95;0.952375
2270399;AC13;Gruppe B;Mali;3674;Niger;14163;1;0;;20.01.13;25.08695652173913;24.956521739130434;15400000.0;1400000.0;22200000.0;2425000.0;22;17;;
2270417;AC13;Gruppe C;Äthiopien;13941;Nigeria;3444;0;2;;29.01.13;24.08695652173913;24.0;825000.0;40900000.0;1250000.0;49350000.0;8;20;1.9;2.09
2270416;AC13;Gruppe C;Sambia;3703;Burkina Faso;5872;0;0;;29.01.13;25.91304347826087;26.0;2900000.0;6550000.0;8000000.0;23250000.0;15;20;0.95;0.95
2270408;AC13;Gruppe C;Sambia;3703;Nigeria;3444;1;1;;25.01.13;25.91304347826087;24.0;2900000.0;36500000.0;9000000.0;49350000.0;15;19;3.8;4.75
2270409;AC13;Gruppe C;Burkina Faso;5872;Äthiopien;13941;4;0;;25.01.13;26.304347826086957;24.045454545454547;11600000.0;825000.0;18250000.0;1175000.0;21;8;;
2270400;AC13;Gruppe C;Sambia;3703;Äthiopien;13941;1;1;;21.01.13;25.91304347826087;24.08695652173913;2900000.0;750000.0;9000000.0;1325000.0;15;8;;
2270401;AC13;Gruppe C;Nigeria;3444;Burkina Faso;5872;1;1;;21.01.13;24.0;26.304347826086957;36900000.0;11950000.0;49350000.0;17900000.0;20;21;;
2270419;AC13;Gruppe D;Algerien;3614;Elfenbeinküste;3591;2;2;;30.01.13;26.52173913043478;27.82608695652174;14000000.0;39850000.0;28950000.0;99650000.0;21;19;2.8499999999999996;1.9
2270418;AC13;Gruppe D;Togo;3815;Tunesien;3670;1;1;;30.01.13;25.130434782608695;25.217391304347824;7450000.0;15800000.0;17350000.0;16950000.0;18;14;0.04761875;2.01198125
2270410;AC13;Gruppe D;Elfenbeinküste;3591;Tunesien;3670;3;0;;26.01.13;27.82608695652174;25.045454545454547;45850000.0;15800000.0;101650000.0;15450000.0;20;14;1.9976124999999998;0.0026125000000000002
2270411;AC13;Gruppe D;Algerien;3614;Togo;3815;0;2;;26.01.13;26.52173913043478;25.130434782608695;17500000.0;7450000.0;25450000.0;18350000.0;21;18;;
2270402;AC13;Gruppe D;Elfenbeinküste;3591;Togo;3815;2;1;;22.01.13;27.82608695652174;25.130434782608695;33350000.0;7450000.0;114150000.0;18350000.0;20;18;0.0475;0.0475
2270403;AC13;Gruppe D;Tunesien;3670;Algerien;3614;1;0;;22.01.13;25.318181818181817;26.52173913043478;15600000.0;17500000.0;17050000.0;25450000.0;14;21;0.095;1.045
53491;WM06;Finale;Italien;3376;Frankreich;3377;6;4;n.E.;09.07.06;28.304347826086957;28.772727272727273;196000000.0;126950000.0;181500000.0;131500000.0;10;16;1.0972499999999998;2.09486875
53490;WM06;Spiel um Platz Drei;Deutschland;3262;Portugal;3300;3;1;;08.07.06;26.57894736842105;28.047619047619047;39750000.0;72850000.0;79200000.0;124750000.0;12;16;0.0477375;2.8976187499999995
53489;WM06;Halbfinale;Portugal;3300;Frankreich;3377;0;1;;05.07.06;27.90909090909091;28.695652173913043;80350000.0;126950000.0;137750000.0;143500000.0;16;16;0.0477375;3.90010625
53488;WM06;Halbfinale;Deutschland;3262;Italien;3376;0;2;n.V.;04.07.06;26.318181818181817;28.26086956521739;60750000.0;196000000.0;107200000.0;181500000.0;14;10;0.950249375;3.847506234375
53485;WM06;Viertelfinale;England;3299;Portugal;3300;1;3;n.E.;01.07.06;25.304347826086957;27.91304347826087;143150000.0;87350000.0;208200000.0;137750000.0;10;16;6.700130609374999;7.650231546874999
53487;WM06;Viertelfinale;Frankreich;3377;Brasilien;3439;1;0;;01.07.06;28.5;28.391304347826086;126950000.0;130250000.0;157000000.0;235000000.0;16;13;0.10212500000000001;0.0477375
53484;WM06;Viertelfinale;Deutschland;3262;Argentinien;3437;5;3;n.E.;30.06.06;26.434782608695652;26.217391304347824;70750000.0;102300000.0;107200000.0;124500000.0;13;14;1.9951187499999998;1.9976124999999998
53486;WM06;Viertelfinale;Italien;3376;Ukraine;3699;3;0;;30.06.06;28.38095238095238;26.38095238095238;169000000.0;20250000.0;185500000.0;75000000.0;8;9;0.14725;0.0475
53480;WM06;Achtelfinale;Brasilien;3439;Ghana;3441;3;0;;27.06.06;28.391304347826086;24.708333333333332;130250000.0;39550000.0;235000000.0;19500000.0;13;23;;
53482;WM06;Achtelfinale;Spanien;3375;Frankreich;3377;1;3;;27.06.06;24.894736842105264;28.652173913043477;133250000.0;126950000.0;167000000.0;143500000.0;10;14;1.9476246874999998;1.0475056249999999
53481;WM06;Achtelfinale;Italien;3376;Australien;3433;1;0;;26.06.06;28.476190476190474;27.916666666666668;124000000.0;9950000.0;206500000.0;27500000.0;9;9;;
53483;WM06;Achtelfinale;Schweiz;3384;Ukraine;3699;0;3;n.E.;26.06.06;26.857142857142858;27.642857142857142;18000000.0;14900000.0;27500000.0;69900000.0;13;7;;
53477;WM06;Achtelfinale;England;3299;Ecuador;5750;1;0;;25.06.06;25.304347826086957;26.52173913043478;143150000.0;9250000.0;208200000.0;11950000.0;10;11;;
53479;WM06;Achtelfinale;Portugal;3300;Niederlande;3379;1;0;;25.06.06;27.91304347826087;26.47826086956522;87350000.0;67250000.0;137750000.0;131700000.0;16;10;1.9524878265624999;1.0022500007421875
53476;WM06;Achtelfinale;Deutschland;3262;Schweden;3557;2;0;;24.06.06;26.434782608695652;27.52173913043478;70750000.0;35950000.0;107200000.0;68750000.0;13;19;2.8499999999999996;1.9
53478;WM06;Achtelfinale;Argentinien;3437;Mexiko;6303;2;1;n.V.;24.06.06;26.217391304347824;27.454545454545453;83300000.0;27800000.0;143500000.0;17750000.0;16;11;6.6975;5.749874999999999
49333;WM06;Gruppe A;Costa Rica;8497;Polen;3442;1;2;;20.06.06;27.304347826086957;26.73913043478261;8450000.0;34750000.0;7950000.0;33850000.0;10;17;;
49332;WM06;Gruppe A;Ecuador;5750;Deutschland;3262;0;3;;20.06.06;26.52173913043478;26.434782608695652;9250000.0;70750000.0;11950000.0;107200000.0;11;13;;
49317;WM06;Gruppe A;Ecuador;5750;Costa Rica;8497;3;0;;15.06.06;26.47826086956522;27.304347826086957;7700000.0;8550000.0;11050000.0;7850000.0;11;10;1.9;0.95
49316;WM06;Gruppe A;Deutschland;3262;Polen;3442;1;0;;14.06.06;26.391304347826086;26.73913043478261;70750000.0;34750000.0;107200000.0;33850000.0;13;17;1.9;0.0
25767;WM06;Gruppe A;Deutschland;3262;Costa Rica;8497;4;2;;09.06.06;26.391304347826086;27.304347826086957;70750000.0;8000000.0;107200000.0;8400000.0;13;10;;
31198;WM06;Gruppe A;Polen;3442;Ecuador;5750;0;2;;09.06.06;26.73913043478261;26.47826086956522;34750000.0;7700000.0;33850000.0;11050000.0;17;11;2.8499999999999996;0.0
49337;WM06;Gruppe B;Schweden;3557;England;3299;2;2;;20.06.06;27.47826086956522;25.304347826086957;35950000.0;143150000.0;68750000.0;208200000.0;19;10;0.9998877953124999;0.04988184296875
49336;WM06;Gruppe B;Paraguay;3581;Trinidad;7149;2;0;;20.06.06;26.565217391304348;28.869565217391305;12650000.0;5275000.0;19250000.0;6775000.0;19;18;;
49318;WM06;Gruppe B;England;3299;Trinidad;7149;2;0;;15.06.06;25.26086956521739;28.82608695652174;177150000.0;5275000.0;174200000.0;6775000.0;10;18;;
49319;WM06;Gruppe B;Schweden;3557;Paraguay;3581;1;0;;15.06.06;27.47826086956522;26.5;35950000.0;11900000.0;68750000.0;19000000.0;19;19;;
31199;WM06;Gruppe B;England;3299;Paraguay;3581;1;0;;10.06.06;25.26086956521739;26.565217391304348;143450000.0;9900000.0;198000000.0;21750000.0;10;19;3.8;0.0
38116;WM06;Gruppe B;Trinidad;7149;Schweden;3557;0;0;;10.06.06;28.82608695652174;27.47826086956522;6725000.0;40950000.0;5325000.0;66750000.0;18;19;;
1126205;WM06;Gruppe C;Elfenbeinküste;3591;Serbien-Montenegro;23380;3;2;;21.06.06;25.40909090909091;28.214285714285715;42800000.0;16200000.0;36000000.0;47200000.0;21;11;;
49340;WM06;Gruppe C;Niederlande;3379;Argentinien;3437;0;0;;21.06.06;26.47826086956522;26.130434782608695;67250000.0;83300000.0;131700000.0;143500000.0;10;16;1.0022499999999999;0.049875
